year,layer,mean,min,max,stdDev
1999,NDVI,0.4256,0.0975,0.8086,0.1521
1999,NDWI,0.1936,-0.0704,0.5637,0.1427
1999,EVI,0.3264,0.0751,0.6416,0.1037
1999,MNDWI,0.1610,-0.1263,0.5022,0.1195
1999,NDMI,0.1936,-0.0100,0.5605,0.1271
1999,LST,25.69,17.96,35.27,4.56
1999,Precipitation,481.3,262.1,640.2,75.1
2000,NDVI,0.4316,0.0969,0.8416,0.1538
2000,NDWI,0.1894,-0.0724,0.5380,0.1594
2000,EVI,0.3200,0.0723,0.6667,0.1022
2000,MNDWI,0.1557,-0.1100,0.4866,0.1262
2000,NDMI,0.1912,-0.0068,0.5480,0.1258
2000,LST,25.92,16.45,34.94,4.33
2000,Precipitation,441.3,244.0,616.0,82.2
2001,NDVI,0.4152,0.1008,0.8378,0.1548
2001,NDWI,0.1836,-0.0679,0.5409,0.1634
2001,EVI,0.3153,0.0793,0.6532,0.1112
2001,MNDWI,0.1614,-0.1212,0.4809,0.1254
2001,NDMI,0.1812,-0.0059,0.5502,0.1263
2001,LST,25.61,16.70,35.31,4.09
2001,ET,4.25,0.72,6.93,1.21
2001,Precipitation,408.2,260.3,593.1,76.4
2002,NDVI,0.3897,0.0956,0.8043,0.1449
2002,NDWI,0.1882,-0.0785,0.5598,0.1664
2002,EVI,0.2941,0.0674,0.6298,0.1087
2002,MNDWI,0.1664,-0.1162,0.4989,0.1385
2002,NDMI,0.1769,-0.0072,0.5750,0.1176
2002,LST,25.18,16.75,34.54,4.52
2002,ET,4.18,0.77,7.09,1.27
2002,Precipitation,417.4,257.3,636.9,72.0
2003,NDVI,0.4063,0.1082,0.7975,0.1382
2003,NDWI,0.1747,-0.0877,0.5679,0.1564
2003,EVI,0.2984,0.0680,0.6625,0.1112
2003,MNDWI,0.1462,-0.1308,0.5054,0.1359
2003,NDMI,0.1599,-0.0069,0.5650,0.1212
2003,LST,25.98,17.20,35.82,4.34
2003,ET,4.25,0.89,6.64,1.34
2003,Precipitation,452.8,264.7,632.1,78.0
2004,NDVI,0.3954,0.1093,0.8038,0.1574
2004,NDWI,0.1758,-0.0846,0.5365,0.1659
2004,EVI,0.2814,0.0803,0.6672,0.1027
2004,MNDWI,0.1569,-0.1173,0.4833,0.1374
2004,NDMI,0.1562,-0.0041,0.5654,0.1186
2004,LST,25.80,18.02,35.54,4.77
2004,ET,4.15,0.82,6.53,1.36
2004,Precipitation,406.8,258.8,614.2,84.1
2005,NDVI,0.3046,0.1039,0.8128,0.1576
2005,NDWI,0.0476,-0.0795,0.5473,0.1560
2005,EVI,0.2214,0.0753,0.6491,0.1097
2005,MNDWI,0.0206,-0.1221,0.4915,0.1313
2005,NDMI,0.0780,-0.0036,0.5340,0.1181
2005,LST,32.07,18.04,35.29,4.34
2005,ET,2.00,0.91,7.14,1.30
2005,Precipitation,220.0,232.6,590.7,76.6
2006,NDVI,0.3774,0.0921,0.8132,0.1455
2006,NDWI,0.1770,-0.0899,0.5445,0.1523
2006,EVI,0.2948,0.0764,0.6642,0.1133
2006,MNDWI,0.1425,-0.1276,0.4634,0.1276
2006,NDMI,0.1621,-0.0035,0.5590,0.1245
2006,LST,25.90,17.88,35.10,4.34
2006,ET,4.00,0.86,7.11,1.23
2006,Precipitation,457.2,251.2,632.8,77.5
2007,NDVI,0.3954,0.1020,0.8070,0.1602
2007,NDWI,0.1734,-0.0850,0.5374,0.1659
2007,EVI,0.2983,0.0842,0.6275,0.1078
2007,MNDWI,0.1422,-0.1209,0.4597,0.1293
2007,NDMI,0.1525,-0.0027,0.5466,0.1230
2007,LST,26.31,18.09,37.19,4.62
2007,ET,4.00,0.99,6.92,1.36
2007,Precipitation,446.9,262.5,604.3,83.7
2008,NDVI,0.4069,0.1125,0.8238,0.1416
2008,NDWI,0.1536,-0.0867,0.5411,0.1658
2008,EVI,0.2939,0.0721,0.6497,0.1176
2008,MNDWI,0.1432,-0.1340,0.4717,0.1306
2008,NDMI,0.1582,-0.0019,0.5323,0.1229
2008,LST,26.24,18.62,37.79,4.76
2008,ET,4.06,1.02,6.80,1.31
2008,Precipitation,395.2,254.0,605.8,86.5
2009,NDVI,0.4231,0.0983,0.8104,0.1558
2009,NDWI,0.1561,-0.0823,0.5170,0.1606
2009,EVI,0.3094,0.0844,0.6288,0.1186
2009,MNDWI,0.1291,-0.1508,0.4834,0.1424
2009,NDMI,0.1703,-0.0012,0.5299,0.1384
2009,LST,26.91,17.90,38.44,4.87
2009,ET,3.85,0.93,6.43,1.35
2009,Precipitation,450.5,247.4,625.2,80.0
2010,NDVI,0.4185,0.1151,0.8015,0.1579
2010,NDWI,0.1456,-0.1091,0.5277,0.1591
2010,EVI,0.3031,0.0803,0.6377,0.1084
2010,MNDWI,0.1366,-0.1522,0.4637,0.1338
2010,NDMI,0.1822,-0.0005,0.5443,0.1297
2010,LST,26.85,18.55,38.63,4.60
2010,ET,3.81,0.94,6.87,1.41
2010,Precipitation,458.3,255.0,588.3,91.0
2011,NDVI,0.4213,0.1163,0.8031,0.1614
2011,NDWI,0.1449,-0.0914,0.5235,0.1803
2011,EVI,0.3176,0.0746,0.6345,0.1141
2011,MNDWI,0.1263,-0.1422,0.4602,0.1397
2011,NDMI,0.1759,0.0003,0.5356,0.1247
2011,LST,27.84,17.20,38.13,5.01
2011,ET,3.86,0.96,6.65,1.50
2011,Precipitation,464.5,239.3,569.3,87.0
2012,NDVI,0.4347,0.1160,0.8190,0.1525
2012,NDWI,0.1455,-0.0977,0.5275,0.1656
2012,EVI,0.3282,0.0754,0.6285,0.1269
2012,MNDWI,0.1196,-0.1496,0.4659,0.1532
2012,NDMI,0.1934,0.0011,0.5249,0.1272
2012,LST,27.91,18.57,38.72,4.54
2012,ET,3.54,1.03,6.77,1.57
2012,Precipitation,443.7,235.5,572.0,90.4
2013,NDVI,0.4520,0.1078,0.8086,0.1645
2013,NDWI,0.1336,-0.1097,0.5024,0.1656
2013,EVI,0.3212,0.0823,0.6308,0.1246
2013,MNDWI,0.1138,-0.1306,0.4727,0.1491
2013,NDMI,0.1871,0.0020,0.5124,0.1309
2013,LST,27.30,17.73,36.32,5.19
2013,ET,3.80,1.05,6.23,1.46
2013,Precipitation,409.6,239.8,609.2,87.7
2014,NDVI,0.4374,0.1176,0.7831,0.1521
2014,NDWI,0.1372,-0.0944,0.5137,0.1720
2014,EVI,0.3501,0.0791,0.6489,0.1230
2014,MNDWI,0.1119,-0.1498,0.4609,0.1533
2014,NDMI,0.1885,0.0026,0.5249,0.1411
2014,LST,27.52,18.80,38.33,4.88
2014,ET,3.66,1.06,6.52,1.55
2014,Precipitation,432.7,247.7,606.7,97.3
2015,NDVI,0.4590,0.1068,0.7929,0.1575
2015,NDWI,0.1375,-0.0914,0.4966,0.1778
2015,EVI,0.3343,0.0771,0.6245,0.1301
2015,MNDWI,0.1119,-0.1646,0.4641,0.1430
2015,NDMI,0.2092,0.0032,0.5353,0.1385
2015,LST,27.77,17.62,39.61,4.76
2015,ET,3.73,1.13,6.51,1.63
2015,Precipitation,455.4,244.9,586.2,96.3
2016,NDVI,0.4431,0.1128,0.7918,0.1603
2016,NDWI,0.1327,-0.1087,0.5202,0.1841
2016,EVI,0.3385,0.0795,0.5964,0.1295
2016,MNDWI,0.1088,-0.1671,0.4336,0.1395
2016,NDMI,0.2146,0.0047,0.5118,0.1320
2016,LST,27.59,19.22,37.80,5.09
2016,ET,3.38,1.16,6.09,1.53
2016,Precipitation,429.6,241.0,625.8,90.5
2017,NDVI,0.4775,0.1052,0.7882,0.1465
2017,NDWI,0.1261,-0.1048,0.5236,0.1601
2017,EVI,0.3521,0.0838,0.6398,0.1300
2017,MNDWI,0.0995,-0.1611,0.4447,0.1628
2017,NDMI,0.2101,0.0046,0.5047,0.1266
2017,LST,28.95,18.39,39.10,5.27
2017,ET,3.51,0.99,6.45,1.50
2017,Precipitation,384.1,232.9,561.6,97.9
2018,NDVI,0.4646,0.1075,0.8080,0.1527
2018,NDWI,0.1173,-0.1227,0.4732,0.1840
2018,EVI,0.3518,0.0792,0.6027,0.1175
2018,MNDWI,0.1030,-0.1387,0.4182,0.1596
2018,NDMI,0.2127,0.0051,0.5016,0.1258
2018,LST,28.94,18.60,39.56,5.18
2018,ET,3.52,1.11,5.98,1.59
2018,Precipitation,447.6,212.3,610.6,100.9
2019,NDVI,0.4840,0.1140,0.8107,0.1464
2019,NDWI,0.1185,-0.1080,0.5042,0.1747
2019,EVI,0.3805,0.0789,0.5920,0.1272
2019,MNDWI,0.0924,-0.1502,0.4421,0.1549
2019,NDMI,0.2198,0.0075,0.5138,0.1352
2019,LST,28.87,17.88,39.63,5.55
2019,ET,3.43,1.19,6.32,1.54
2019,Precipitation,406.1,217.6,577.4,94.1
2020,NDVI,0.4872,0.1066,0.7835,0.1622
2020,NDWI,0.1133,-0.1012,0.5128,0.1638
2020,EVI,0.3847,0.0799,0.5903,0.1308
2020,MNDWI,0.0975,-0.1632,0.4367,0.1565
2020,NDMI,0.2250,0.0059,0.5040,0.1406
2020,LST,29.28,19.39,39.89,5.70
2020,ET,3.37,1.11,6.18,1.56
2020,Precipitation,420.5,216.0,559.4,102.6
2021,NDVI,0.4926,0.1231,0.7887,0.1663
2021,NDWI,0.1159,-0.1311,0.5046,0.1802
2021,EVI,0.3854,0.0794,0.6284,0.1337
2021,MNDWI,0.0880,-0.1507,0.4385,0.1515
2021,NDMI,0.2305,0.0062,0.5225,0.1392
2021,LST,28.84,18.10,39.82,4.95
2021,ET,3.37,1.10,6.04,1.61
2021,Precipitation,395.6,232.5,604.7,98.3
2022,NDVI,0.4885,0.1074,0.7674,0.1620
2022,NDWI,0.1097,-0.1085,0.4939,0.1776
2022,EVI,0.3856,0.0845,0.6173,0.1201
2022,MNDWI,0.0863,-0.1569,0.4341,0.1572
2022,NDMI,0.2435,0.0070,0.5008,0.1407
2022,LST,28.31,18.48,38.69,5.09
2022,ET,3.17,1.14,5.75,1.74
2022,Precipitation,378.1,218.7,597.8,98.0
2023,NDVI,0.5263,0.1263,0.7617,0.1687
2023,NDWI,0.0981,-0.1012,0.5033,0.1894
2023,EVI,0.3961,0.0906,0.6126,0.1273
2023,MNDWI,0.0796,-0.1485,0.4158,0.1664
2023,NDMI,0.2476,0.0105,0.5194,0.1301
2023,LST,29.94,18.44,40.08,5.47
2023,ET,3.17,1.15,5.90,1.65
2023,Precipitation,375.5,221.9,554.8,99.2
2024,NDVI,0.4956,0.1164,0.7906,0.1682
2024,NDWI,0.3632,-0.1105,0.4630,0.1713
2024,EVI,0.4033,0.0947,0.6075,0.1233
2024,MNDWI,0.3098,-0.1698,0.4307,0.1667
2024,NDMI,0.3781,0.0117,0.5026,0.1430
2024,LST,25.19,19.69,40.41,5.19
2024,Precipitation,750.0,218.0,566.3,95.5
