year,month,mean,median,min,max,std,p25,p75,water_area_ha,wetland_coverage_pct
1993,05,0.18,0.188,-0.163,0.523,0.122,0.088,0.272,348.0,48.1
1993,08,0.099,0.103,-0.175,0.373,0.098,0.026,0.172,191.0,26.4
1994,02,0.244,0.255,-0.172,0.659,0.149,0.132,0.355,483.0,66.7
1994,05,0.168,0.176,-0.152,0.488,0.114,0.082,0.254,333.0,46.0
1994,08,0.092,0.097,-0.163,0.348,0.091,0.024,0.161,183.0,25.3
1995,02,0.225,0.235,-0.159,0.608,0.137,0.122,0.328,461.0,63.7
1995,05,0.155,0.162,-0.14,0.45,0.105,0.076,0.234,318.0,43.9
1995,08,0.085,0.089,-0.151,0.321,0.084,0.022,0.148,175.0,24.2
1996,02,0.203,0.212,-0.144,0.55,0.124,0.11,0.296,436.0,60.3
1996,05,0.14,0.146,-0.127,0.407,0.095,0.069,0.211,301.0,41.6
1996,08,0.077,0.08,-0.136,0.29,0.076,0.02,0.134,166.0,22.9
1997,02,0.186,0.194,-0.131,0.502,0.113,0.101,0.27,415.0,57.3
1997,05,0.128,0.134,-0.116,0.372,0.087,0.063,0.193,286.0,39.5
1997,08,0.07,0.074,-0.125,0.265,0.07,0.018,0.123,157.0,21.7
1998,02,0.167,0.174,-0.118,0.451,0.102,0.091,0.243,393.0,54.3
1998,05,0.115,0.12,-0.104,0.334,0.078,0.056,0.174,271.0,37.4
1998,08,0.063,0.066,-0.112,0.238,0.063,0.016,0.11,149.0,20.6
1999,02,0.152,0.159,-0.108,0.412,0.093,0.083,0.222,374.0,51.7
1999,05,0.105,0.11,-0.095,0.305,0.071,0.051,0.159,258.0,35.6
1999,08,0.058,0.06,-0.102,0.218,0.057,0.015,0.101,142.0,19.6
2000,02,0.138,0.144,-0.097,0.373,0.084,0.075,0.201,355.0,49.1
2000,05,0.095,0.099,-0.086,0.276,0.065,0.047,0.143,245.0,33.8
2000,08,0.052,0.055,-0.092,0.197,0.052,0.013,0.091,135.0,18.6
2001,02,0.128,0.133,-0.09,0.345,0.078,0.069,0.186,344.0,47.5
2001,05,0.088,0.092,-0.08,0.256,0.06,0.043,0.133,237.0,32.7
2001,08,0.048,0.051,-0.086,0.182,0.048,0.012,0.084,130.0,18.0
2002,02,0.119,0.124,-0.084,0.322,0.072,0.065,0.173,334.0,46.1
2002,05,0.082,0.086,-0.074,0.238,0.056,0.04,0.124,230.0,31.8
2002,08,0.045,0.047,-0.08,0.17,0.045,0.012,0.079,127.0,17.5
2003,02,0.113,0.118,-0.08,0.306,0.069,0.061,0.165,325.0,44.9
2003,05,0.078,0.082,-0.071,0.227,0.053,0.038,0.118,224.0,30.9
2003,08,0.043,0.045,-0.076,0.162,0.042,0.011,0.075,123.0,17.0
2004,02,0.109,0.114,-0.077,0.294,0.066,0.059,0.158,320.0,44.3
2004,05,0.075,0.078,-0.068,0.218,0.051,0.037,0.113,221.0,30.5
2004,08,0.041,0.043,-0.073,0.155,0.041,0.011,0.072,122.0,16.8
2005,02,0.104,0.109,-0.074,0.283,0.064,0.057,0.152,316.0,43.7
2005,05,0.072,0.075,-0.065,0.209,0.049,0.035,0.109,218.0,30.1
2005,08,0.04,0.041,-0.07,0.149,0.039,0.01,0.069,120.0,16.6
2006,02,0.113,0.118,-0.08,0.306,0.069,0.061,0.165,325.0,44.9
2006,05,0.078,0.082,-0.071,0.227,0.053,0.038,0.118,224.0,30.9
2006,08,0.043,0.045,-0.076,0.162,0.042,0.011,0.075,123.0,17.0
2007,02,0.123,0.129,-0.087,0.334,0.075,0.067,0.18,335.0,46.3
2007,05,0.085,0.089,-0.077,0.247,0.058,0.042,0.128,231.0,31.9
2007,08,0.047,0.049,-0.083,0.176,0.046,0.012,0.081,127.0,17.5
2008,02,0.133,0.139,-0.094,0.361,0.081,0.072,0.194,347.0,47.9
2008,05,0.092,0.096,-0.083,0.267,0.063,0.045,0.139,239.0,33.0
2008,08,0.051,0.053,-0.09,0.191,0.05,0.013,0.088,131.0,18.2
2009,02,0.145,0.152,-0.103,0.393,0.088,0.079,0.211,365.0,50.5
2009,05,0.1,0.104,-0.09,0.29,0.068,0.049,0.151,252.0,34.8
2009,08,0.055,0.057,-0.097,0.207,0.054,0.014,0.096,139.0,19.1
2010,02,0.157,0.164,-0.111,0.424,0.095,0.085,0.228,384.0,53.1
2010,05,0.108,0.113,-0.098,0.314,0.073,0.053,0.163,265.0,36.6
2010,08,0.059,0.062,-0.105,0.224,0.059,0.015,0.103,146.0,20.1
2011,02,0.171,0.179,-0.121,0.463,0.104,0.093,0.249,406.0,56.1
2011,05,0.118,0.123,-0.107,0.343,0.08,0.058,0.178,280.0,38.7
2011,08,0.065,0.068,-0.115,0.245,0.064,0.017,0.113,154.0,21.3
2012,02,0.186,0.194,-0.131,0.502,0.113,0.101,0.27,428.0,59.1
2012,05,0.128,0.134,-0.116,0.372,0.087,0.063,0.193,295.0,40.7
2012,08,0.07,0.074,-0.125,0.265,0.07,0.018,0.123,162.0,22.4
2013,02,0.2,0.209,-0.141,0.542,0.122,0.109,0.292,450.0,62.1
2013,05,0.138,0.144,-0.125,0.401,0.094,0.068,0.208,310.0,42.8
2013,08,0.076,0.079,-0.134,0.286,0.075,0.02,0.132,170.0,23.5
2014,02,0.215,0.224,-0.152,0.581,0.131,0.116,0.313,471.0,65.1
2014,05,0.148,0.155,-0.134,0.43,0.101,0.073,0.223,325.0,44.9
2014,08,0.081,0.085,-0.144,0.307,0.081,0.021,0.142,179.0,24.7
2015,02,0.229,0.239,-0.162,0.62,0.14,0.124,0.334,493.0,68.1
2015,05,0.158,0.165,-0.143,0.459,0.107,0.077,0.239,340.0,47.0
2015,08,0.087,0.091,-0.154,0.328,0.086,0.022,0.151,187.0,25.8
2016,02,0.244,0.255,-0.172,0.659,0.149,0.132,0.355,515.0,71.1
2016,05,0.168,0.176,-0.152,0.488,0.114,0.082,0.254,355.0,49.0
2016,08,0.092,0.097,-0.163,0.348,0.091,0.024,0.161,195.0,27.0
2017,02,0.258,0.27,-0.182,0.699,0.157,0.14,0.376,536.0,74.1
2017,05,0.178,0.186,-0.161,0.517,0.121,0.087,0.269,370.0,51.1
2017,08,0.098,0.102,-0.173,0.369,0.097,0.025,0.171,204.0,28.1
2018,02,0.273,0.285,-0.193,0.738,0.166,0.148,0.397,548.0,75.7
2018,05,0.188,0.196,-0.17,0.546,0.128,0.092,0.284,378.0,52.2
2018,08,0.103,0.108,-0.183,0.39,0.102,0.027,0.18,208.0,28.7
2019,02,0.286,0.299,-0.202,0.773,0.174,0.155,0.416,545.0,75.3
2019,05,0.197,0.206,-0.178,0.572,0.134,0.097,0.297,376.0,51.9
2019,08,0.108,0.113,-0.192,0.408,0.107,0.028,0.189,207.0,28.6
2020,02,0.299,0.312,-0.211,0.809,0.182,0.162,0.435,548.0,75.7
2020,05,0.206,0.215,-0.186,0.598,0.14,0.101,0.311,378.0,52.2
2020,08,0.113,0.118,-0.2,0.427,0.112,0.029,0.197,208.0,28.7
2021,02,0.304,0.318,-0.215,0.824,0.186,0.165,0.444,551.0,76.1
2021,05,0.21,0.219,-0.19,0.61,0.143,0.103,0.317,380.0,52.5
2021,08,0.116,0.121,-0.204,0.435,0.114,0.03,0.201,209.0,28.9
2022,02,0.309,0.323,-0.218,0.836,0.188,0.168,0.45,554.0,76.5
2022,05,0.213,0.223,-0.193,0.619,0.145,0.104,0.322,382.0,52.8
2022,08,0.117,0.122,-0.207,0.442,0.116,0.03,0.204,210.0,29.0
2023,02,0.313,0.327,-0.221,0.848,0.191,0.17,0.456,557.0,76.9
2023,05,0.216,0.226,-0.195,0.627,0.147,0.106,0.326,384.0,53.0
2023,08,0.119,0.124,-0.21,0.448,0.118,0.031,0.207,211.0,29.2
2024,02,0.319,0.333,-0.226,0.864,0.194,0.173,0.465,560.0,77.3
2024,05,0.22,0.23,-0.199,0.639,0.15,0.108,0.332,386.0,53.3
2024,08,0.121,0.126,-0.214,0.456,0.12,0.031,0.211,212.0,29.3
