year,month,mean,median,min,max,std,p25,p75
1998,08,0.265,0.267,0.089,0.44,0.063,0.218,0.312
1999,02,0.316,0.319,0.133,0.499,0.065,0.267,0.365
1999,05,0.484,0.488,0.25,0.717,0.083,0.421,0.546
1999,08,0.26,0.263,0.088,0.433,0.062,0.214,0.307
2000,02,0.31,0.313,0.131,0.49,0.064,0.262,0.358
2000,05,0.474,0.479,0.245,0.704,0.082,0.413,0.536
2000,08,0.256,0.258,0.086,0.425,0.06,0.21,0.301
2001,02,0.305,0.308,0.129,0.482,0.063,0.258,0.352
2001,05,0.467,0.471,0.241,0.692,0.081,0.406,0.527
2001,08,0.251,0.254,0.085,0.418,0.06,0.207,0.296
2002,02,0.301,0.304,0.127,0.475,0.062,0.254,0.347
2002,05,0.46,0.465,0.238,0.682,0.079,0.401,0.52
2002,08,0.248,0.25,0.084,0.412,0.059,0.204,0.292
2003,02,0.297,0.3,0.125,0.468,0.061,0.251,0.343
2003,05,0.454,0.458,0.235,0.673,0.078,0.395,0.512
2003,08,0.244,0.247,0.082,0.406,0.058,0.201,0.288
2004,02,0.293,0.296,0.124,0.463,0.061,0.248,0.339
2004,05,0.448,0.453,0.232,0.665,0.077,0.39,0.507
2004,08,0.241,0.244,0.081,0.402,0.057,0.199,0.284
2005,02,0.291,0.294,0.123,0.459,0.06,0.246,0.336
2005,05,0.445,0.449,0.23,0.659,0.077,0.387,0.502
2005,08,0.239,0.242,0.081,0.398,0.057,0.197,0.282
2006,02,0.294,0.297,0.124,0.464,0.061,0.249,0.34
2006,05,0.45,0.454,0.233,0.667,0.078,0.392,0.508
2006,08,0.242,0.245,0.082,0.403,0.057,0.199,0.285
2007,02,0.297,0.3,0.126,0.469,0.061,0.251,0.344
2007,05,0.455,0.46,0.235,0.675,0.078,0.396,0.514
2007,08,0.245,0.247,0.083,0.407,0.058,0.201,0.289
2008,02,0.302,0.305,0.127,0.476,0.062,0.255,0.348
2008,05,0.461,0.466,0.239,0.684,0.08,0.402,0.521
2008,08,0.248,0.251,0.084,0.413,0.059,0.204,0.293
2009,02,0.306,0.309,0.129,0.483,0.063,0.259,0.353
2009,05,0.468,0.473,0.242,0.694,0.081,0.407,0.529
2009,08,0.252,0.255,0.085,0.419,0.06,0.207,0.297
2010,02,0.311,0.314,0.131,0.491,0.064,0.263,0.359
2010,05,0.476,0.481,0.246,0.706,0.082,0.414,0.537
2010,08,0.256,0.259,0.086,0.426,0.061,0.211,0.302
2011,02,0.316,0.319,0.133,0.499,0.065,0.267,0.365
2011,05,0.484,0.488,0.25,0.717,0.083,0.421,0.546
2011,08,0.26,0.263,0.088,0.433,0.062,0.214,0.307
2012,02,0.321,0.325,0.136,0.507,0.066,0.272,0.371
2012,05,0.491,0.496,0.254,0.729,0.085,0.428,0.555
2012,08,0.265,0.267,0.089,0.44,0.063,0.218,0.312
2013,02,0.326,0.33,0.138,0.515,0.067,0.276,0.377
2013,05,0.499,0.504,0.258,0.74,0.086,0.435,0.564
2013,08,0.269,0.271,0.091,0.447,0.064,0.221,0.317
2014,02,0.332,0.335,0.14,0.523,0.068,0.28,0.383
2014,05,0.507,0.512,0.262,0.752,0.087,0.441,0.573
2014,08,0.273,0.276,0.092,0.454,0.065,0.225,0.321
2015,02,0.337,0.34,0.142,0.531,0.069,0.284,0.389
2015,05,0.515,0.52,0.266,0.763,0.089,0.448,0.581
2015,08,0.277,0.28,0.093,0.461,0.066,0.228,0.326
2016,02,0.341,0.344,0.144,0.538,0.07,0.288,0.394
2016,05,0.521,0.527,0.27,0.773,0.09,0.454,0.589
2016,08,0.281,0.284,0.095,0.467,0.066,0.231,0.331
2017,02,0.345,0.349,0.146,0.545,0.071,0.292,0.399
2017,05,0.528,0.533,0.273,0.783,0.091,0.46,0.596
2017,08,0.284,0.287,0.096,0.473,0.067,0.234,0.335
2018,02,0.349,0.353,0.147,0.551,0.072,0.295,0.403
2018,05,0.534,0.54,0.276,0.792,0.092,0.465,0.603
2018,08,0.288,0.291,0.097,0.478,0.068,0.237,0.339
2019,02,0.353,0.356,0.149,0.557,0.073,0.298,0.407
2019,05,0.539,0.545,0.279,0.8,0.093,0.47,0.609
2019,08,0.29,0.293,0.098,0.483,0.069,0.239,0.342
2020,02,0.356,0.36,0.15,0.562,0.074,0.301,0.411
2020,05,0.545,0.55,0.282,0.808,0.094,0.474,0.615
2020,08,0.293,0.296,0.099,0.488,0.069,0.241,0.345
2021,02,0.359,0.362,0.151,0.566,0.074,0.303,0.414
2021,05,0.549,0.554,0.284,0.814,0.095,0.478,0.62
2021,08,0.295,0.298,0.1,0.491,0.07,0.243,0.348
2022,02,0.361,0.365,0.152,0.57,0.075,0.305,0.417
2022,05,0.552,0.558,0.286,0.819,0.095,0.481,0.624
2022,08,0.297,0.3,0.1,0.495,0.07,0.245,0.35
2023,02,0.364,0.367,0.153,0.574,0.075,0.307,0.42
2023,05,0.556,0.562,0.288,0.825,0.096,0.484,0.628
2023,08,0.3,0.303,0.101,0.498,0.071,0.246,0.353
2024,02,0.365,0.369,0.154,0.577,0.075,0.309,0.422
2024,05,0.559,0.565,0.289,0.829,0.096,0.487,0.631
2024,08,0.301,0.304,0.101,0.501,0.071,0.248,0.354
